name,phone,email,address,currency,numberrange
Jasper Joseph,(125) 832-4826,mauris.vestibulum@protonmail.edu,Ap #783-8034 Nunc Street,$73.44,4
Rogan Hopkins,1-764-710-2172,dolor.fusce.mi@protonmail.couk,Ap #758-5121 Suspendisse Ave,$70.93,9
Shay Cleveland,(637) 964-7108,lorem@icloud.net,456-1057 Libero. St.,$7.62,9
Maite Weaver,(739) 463-1949,adipiscing.mauris@hotmail.net,Ap #255-7815 Erat Avenue,$32.88,7
Adria Herring,(337) 415-5957,integer.eu@yahoo.com,Ap #669-2053 Amet St.,$13.79,6
Laurel Gonzalez,(895) 846-2962,porttitor.vulputate@google.org,"Ap #767-7502 In, Road",$98.11,9
Jane Bender,1-659-923-1774,duis.gravida@protonmail.couk,618-8403 Aliquam Av.,$40.56,9
Melinda Barton,1-576-782-5035,donec@aol.ca,878-2869 Purus. Av.,$63.92,9
Colorado Sandoval,(737) 534-1143,vel.vulputate@aol.net,8766 Nonummy St.,$82.73,9
Felix Sutton,(915) 275-7510,justo.faucibus@hotmail.com,978-3821 Odio. Rd.,$30.35,1
